Latitude,Longitude,x_utmk,y_utmk
37.5834233,127.0600271,961153.970376273,1953872.557949719
37.597475,126.947416,951220.426361598,1955484.0611106083
37.6281126,127.0904568,963862.3042823349,1958818.480310296
37.5867117,127.1001536,964698.3826223409,1954221.5525901213
37.4877355,126.825157,940340.4613525942,1943379.496609679
37.588227,126.993606,955292.363550075,1954435.046668404
37.5916992,127.0219923,957800.4600346347,1954807.138406909
37.5518018,127.0736345,962339.481630673,1950358.7797357277
37.546475,126.9646916,952713.2133119784,1949817.0198050495
37.4963462,126.9568865,951991.6304289068,1944259.4672608809
37.5569016,126.9874009,954725.5748242678,1950962.616808309
37.561007,126.9396957,950514.7777548748,1951442.1386496522
37.5625607,126.9474535,951200.9538075029,1951610.4577186506
37.6310852,127.0550567,960740.1819402655,1959162.499473936
37.550118,127.1038593,965008.4379501278,1950160.2923004748
37.5673103,126.9663008,952868.4891191943,1952127.783227401
37.5045563,126.9569379,952001.4298116901,1945170.3019965398
37.4907607,126.9671264,952893.2824620386,1943634.617069472
37.5622814,126.9546074,951832.5873247627,1951575.7801866347
37.5790986,127.0027894,956097.7764822041,1953417.9621115227
37.6486885,127.0642073,961556.6661158489,1961111.727880471
37.6082694,127.0614872,961295.7574387488,1956628.5128406903
37.5974261,127.058706,961044.6266106693,1955426.6484656718
37.5196266,127.1309837,967391.10223255,1946767.7071556943
37.5504011,126.843553,942015.2939251589,1950320.4260498602
37.5291378,126.9965384,955516.1406243027,1947878.0120041582
37.5828483,127.0105811,956787.9321856205,1953830.3607741713
37.5577414,127.0473936,960024.804997052,1951028.5822552121
37.5577414,127.0473936,960024.804997052,1951028.5822552121
37.4965411,126.8512616,942654.9993893362,1944340.2047971173
37.5484657,126.9252536,949230.7549381054,1950058.4447374542
37.5000792,127.005247,956268.6498191794,1944650.051552461
37.5860335,127.0042568,956231.4046707895,1954186.6717549711
37.5676455,126.96161,952454.4497919539,1952167.3350721002
37.5432534,127.07341,962315.3483260039,1949410.473135942
37.5653276,126.9624031,952523.0183340835,1951909.7743026346
37.5939495,127.0541558,960641.1229734163,1955042.8332569299
37.586288,127.0261105,958160.9967238226,1954204.9488140414
37.6197029,127.0596708,961141.3866865726,1957897.7601012953
37.6108694,126.9972889,955630.9635432849,1956945.375139367
37.5169054,127.0310041,958554.6445856561,1946505.157015194
37.5483449,126.8547974,943006.9698240417,1950085.4237421942
37.6512976,127.0165728,957356.0693391244,1961421.7882032837
37.5585143,126.9970195,955576.0841331099,1951136.9479858289
37.6077595,127.0422513,959597.6635937532,1956580.0456343545
37.5000326,126.8680013,944137.3162459334,1944717.499692698
37.5854462,126.9438636,950898.9319804097,1954151.3685069585
37.5802263,126.9231205,949063.9595493043,1953583.2884975788
37.5846465,126.9251874,949249.4604943085,1954072.5717449905
37.5779167,126.9676798,952996.9374798969,1953303.8221782376
37.4806731,126.996636,955496.0038154698,1942501.105290637
37.5972565,127.0581605,960996.3836415692,1955408.0585643146
37.6429012,127.1060303,965243.3897162307,1960453.3312878949
37.5862154,127.0645629,961555.882572121,1954180.4616636105
37.602638,126.955252,951915.4808360923,1956052.8328643641
37.551704,126.93735,950301.4291494251,1950411.254117654
37.6148855,127.0133508,957050.8977580977,1957383.4746771578
37.6329741,127.0798802,962931.445841893,1959361.9691349948
37.6316684,127.0774813,962719.1297233911,1959218.0574477592
37.4901737,127.0162346,957234.204757856,1943546.0511103384
37.6008847,126.9122537,948118.8007455604,1955881.199849226
37.480967,126.953148,951651.2527920404,1942555.1545420703
37.5429672,126.9478554,951223.6803010389,1949436.448775015
37.6296664,127.027301,958290.335609474,1959017.0639671462
